quantile,median_flagged,min_flagged,max_flagged,median_case_share,median_control_share,median_enrichment,median_reference_jaccard
0.975,97.0,93,99,0.01206896551724138,0.0013084723585214263,9.223706896551723,0.5463917525773195
0.99,53.5,52,55,0.007112068965517242,0.0004361574528404754,16.306196120689656,0.9813067784765899
0.995,42.5,41,44,0.005531609195402298,0.0004361574528404754,12.682596982758621,0.7735849056603774
