tier_type,eligible_rows,screenable_rows,unavailable_flag_rows,flagged_rows,flagged_share,case_to_control_enrichment,total_flagged_rows,case_share_among_flagged,fisher_exact_p
Case,75954,53365,22589,1880,0.024751823472101534,15.26194379509105,2042,0.920666013712047,0.0
Control,99889,71146,28743,162,0.0016218001982200242,15.26194379509105,2042,0.920666013712047,0.0
