family,metric,metric_label,n_pairs,case_median,control_median,median_difference,mean_difference,bootstrap_ci_low,bootstrap_ci_high,mean_bootstrap_ci_low,mean_bootstrap_ci_high,rank_biserial,wilcoxon_p,sign_flip_p,bh_adjusted_p,bh_significant_05
primary,coauthor_citation_rate,Coauthor-citation rate,74690,0.0,0.027610488583610905,0.0,0.04833642889732743,0.0,0.0,0.04651643729231098,0.05019345953187478,0.14039647667225735,6.31008929299276e-196,9.999000099990002e-05,6.31008929299276e-196,True
primary,reciprocity,Reciprocity,39441,0.0,0.0,0.0,0.09625728298482694,0.0,0.0,0.09216898508698954,0.10036363347029895,0.3412564674916586,0.0,9.999000099990002e-05,0.0,True
primary,local_clustering,Local clustering,102626,0.0,0.0,0.0,0.08142624692174441,0.0,0.0,0.0789604482231688,0.08391545678887839,0.2639654357509795,0.0,9.999000099990002e-05,0.0,True
primary,outgoing_hhi,Outgoing HHI,74690,0.07397941529552998,0.03003223882020086,0.036021912396717856,0.0970310680145164,0.035315107999517814,0.03676693642144667,0.09531729307306008,0.09868951334097811,0.593811668227864,0.0,9.999000099990002e-05,0.0,True
