replicate,graph_null_reciprocal_clique_count,label_swap_case_membership_share
0,1.0,0.39759036144578314
1,1.0,0.43373493975903615
2,0.0,0.4939759036144578
3,1.0,0.5301204819277109
4,0.0,0.46987951807228917
5,0.0,0.43373493975903615
6,1.0,0.3855421686746988
7,1.0,0.46987951807228917
8,0.0,0.5060240963855421
9,0.0,0.46987951807228917
10,0.0,0.3493975903614458
11,2.0,0.5542168674698795
12,1.0,0.5783132530120482
13,1.0,0.5301204819277109
14,0.0,0.5903614457831325
15,1.0,0.5662650602409639
16,0.0,0.46987951807228917
17,0.0,0.4939759036144578
18,0.0,0.5180722891566265
19,1.0,0.5180722891566265
20,1.0,0.37349397590361444
21,0.0,0.4819277108433735
22,0.0,0.6024096385542169
23,1.0,0.5301204819277109
24,1.0,0.43373493975903615
25,1.0,0.43373493975903615
26,0.0,0.46987951807228917
27,0.0,0.6506024096385542
28,2.0,0.4939759036144578
29,0.0,0.6506024096385542
30,0.0,0.6024096385542169
31,0.0,0.4578313253012048
32,1.0,0.6144578313253012
33,0.0,0.43373493975903615
34,0.0,0.5421686746987951
35,1.0,0.5421686746987951
36,1.0,0.5903614457831325
37,2.0,0.46987951807228917
38,0.0,0.5060240963855421
39,1.0,0.5421686746987951
40,2.0,0.42168674698795183
41,0.0,0.5180722891566265
42,0.0,0.42168674698795183
43,1.0,0.5903614457831325
44,2.0,0.5542168674698795
45,1.0,0.5301204819277109
46,2.0,0.5421686746987951
47,0.0,0.5060240963855421
48,0.0,0.5542168674698795
49,2.0,0.5180722891566265
50,1.0,0.43373493975903615
51,1.0,0.5180722891566265
52,2.0,0.5060240963855421
53,2.0,0.4578313253012048
54,0.0,0.5421686746987951
55,1.0,0.6265060240963856
56,0.0,0.42168674698795183
57,1.0,0.6265060240963856
58,4.0,0.4939759036144578
59,0.0,0.46987951807228917
60,1.0,0.4578313253012048
61,0.0,0.4819277108433735
62,1.0,0.42168674698795183
63,0.0,0.46987951807228917
64,0.0,0.4457831325301205
65,0.0,0.6265060240963856
66,0.0,0.43373493975903615
67,0.0,0.6024096385542169
68,0.0,0.5060240963855421
69,1.0,0.42168674698795183
70,1.0,0.5301204819277109
71,0.0,0.5180722891566265
72,3.0,0.5180722891566265
73,1.0,0.5060240963855421
74,2.0,0.5060240963855421
75,3.0,0.43373493975903615
76,2.0,0.37349397590361444
77,0.0,0.4939759036144578
78,0.0,0.4578313253012048
79,0.0,0.5542168674698795
80,2.0,0.5783132530120482
81,0.0,0.4939759036144578
82,1.0,0.5060240963855421
83,1.0,0.5060240963855421
84,3.0,0.4457831325301205
85,2.0,0.5662650602409639
86,2.0,0.5903614457831325
87,0.0,0.5783132530120482
88,1.0,0.5903614457831325
89,0.0,0.5662650602409639
90,4.0,0.5421686746987951
91,0.0,0.46987951807228917
92,1.0,0.4457831325301205
93,0.0,0.42168674698795183
94,1.0,0.46987951807228917
95,1.0,0.5180722891566265
96,0.0,0.5421686746987951
97,1.0,0.5180722891566265
98,1.0,0.37349397590361444
99,0.0,0.4819277108433735
100,1.0,0.5542168674698795
101,0.0,0.4578313253012048
102,1.0,0.4819277108433735
103,0.0,0.46987951807228917
104,0.0,0.4457831325301205
105,2.0,0.4457831325301205
106,1.0,0.5662650602409639
107,0.0,0.5180722891566265
108,1.0,0.5542168674698795
109,0.0,0.40963855421686746
110,2.0,0.40963855421686746
111,4.0,0.5180722891566265
112,0.0,0.4939759036144578
113,0.0,0.42168674698795183
114,0.0,0.3493975903614458
115,0.0,0.5301204819277109
116,0.0,0.4939759036144578
117,1.0,0.6024096385542169
118,1.0,0.46987951807228917
119,2.0,0.5662650602409639
120,1.0,0.4819277108433735
121,0.0,0.5060240963855421
122,0.0,0.6265060240963856
123,0.0,0.5783132530120482
124,3.0,0.7349397590361446
125,1.0,0.42168674698795183
126,0.0,0.5060240963855421
127,0.0,0.5180722891566265
128,1.0,0.4819277108433735
129,0.0,0.5783132530120482
130,1.0,0.6506024096385542
131,2.0,0.5662650602409639
132,0.0,0.4457831325301205
133,0.0,0.6385542168674698
134,1.0,0.6265060240963856
135,1.0,0.6867469879518072
136,1.0,0.4457831325301205
