family,metric,metric_label,n_pairs,case_median,control_median,median_difference,mean_difference,bootstrap_ci_low,bootstrap_ci_high,mean_bootstrap_ci_low,mean_bootstrap_ci_high,rank_biserial,wilcoxon_p,sign_flip_p,bh_adjusted_p,bh_significant_05
exact_h5_primary,coauthor_citation_rate,Coauthor-citation rate,47128,0.03511048144588978,0.024500138416987078,0.0,0.07472974629928744,0.0,0.0,0.07236689940709475,0.07719979484528726,0.2961453409019498,0.0,9.999000099990002e-05,0.0,True
exact_h5_primary,reciprocity,Reciprocity,24032,0.14013236844976182,0.0,0.01496746807915945,0.14745542333459374,0.0,0.030610706929756464,0.14234736867356737,0.15286139928983103,0.47023270383611154,0.0,9.999000099990002e-05,0.0,True
exact_h5_primary,local_clustering,Local clustering,64176,0.0,0.0,0.0,0.09114721342473793,0.0,0.0,0.08783971884977405,0.09436071046811069,0.32974207596727445,0.0,9.999000099990002e-05,0.0,True
exact_h5_primary,outgoing_hhi,Outgoing HHI,47128,0.07142857142857142,0.029879728658571254,0.03372517558086775,0.09727639468049602,0.032898474158112645,0.03456451419244368,0.09502452933429284,0.09946165122223824,0.5744803126247846,0.0,9.999000099990002e-05,0.0,True
same_year_coauthor_sensitivity,coauthor_citation_rate_same_year,Coauthor-citation rate (same-year included),74690,0.06794143518763843,0.07970932917852915,0.0,0.051191060069076616,0.0,0.0,0.049093334021512745,0.05325632890995128,0.10507956095111431,2.268449838631504e-127,9.999000099990002e-05,2.268449838631504e-127,True
