family,metric,metric_label,n_pairs,case_median,control_median,median_difference,mean_difference,bootstrap_ci_low,bootstrap_ci_high,mean_bootstrap_ci_low,mean_bootstrap_ci_high,rank_biserial,wilcoxon_p,sign_flip_p,bh_adjusted_p,bh_significant_05
secondary,self_citation_rate,Self-citation rate,75526,0.0,0.006857459167711158,0.0,0.03259516633473655,0.0,0.0,0.0314507348088883,0.03372692972645885,0.17707668871099902,3.4115702355405513e-301,9.999000099990002e-05,4.548760314054068e-301,True
secondary,journal_endogamy,Journal endogamy,79700,0.008374044552488254,0.06382978723404255,-0.02666666666666667,-0.008831455701215704,-0.027441075366559584,-0.025974025974025976,-0.010233455335584465,-0.0074035919490719184,-0.2353890129598302,0.0,9.999000099990002e-05,0.0,True
secondary,within_sample_citation_balance,Within-sample citation balance,59924,0.0,-0.02402080350006345,0.0,-0.01984802510490995,0.0,0.0,-0.027620878820068303,-0.011339198192365724,-0.01790490095942971,0.0002537393015903173,9.999000099990002e-05,0.0002537393015903173,True
secondary,annual_dyadic_surge_share,Maximum annual dyadic surge share,75526,0.12294292990258276,0.06868109989219612,0.04704494452499301,0.09405615824799694,0.0461341367461278,0.0480672498279069,0.09245449397294114,0.0955503386358757,0.5257252997021439,0.0,9.999000099990002e-05,0.0,True
