subject,component_id,citing_orcid,cited_orcid,citation_weight
2,C1,0000-0001-6147-3555,0000-0001-5126-1786,0.08333333333333333
2,C1,0000-0001-6147-3555,0000-0002-1628-9430,0.08333333333333333
2,C1,0000-0002-0405-2225,0000-0002-1628-9430,0.06666666666666667
2,C1,0000-0002-0405-2225,0000-0002-3572-9163,0.06666666666666667
2,C1,0000-0002-0405-2225,0000-0003-3674-0660,0.06666666666666667
2,C1,0000-0002-1628-9430,0000-0002-3572-9163,0.06666666666666667
2,C1,0000-0002-1628-9430,0000-0003-3674-0660,0.06666666666666667
2,C1,0000-0002-3572-9163,0000-0002-1628-9430,0.06666666666666667
2,C1,0000-0002-3572-9163,0000-0003-3674-0660,0.06666666666666667
2,C1,0000-0003-3674-0660,0000-0002-1628-9430,0.06666666666666667
2,C1,0000-0003-3674-0660,0000-0002-3572-9163,0.06666666666666667
2,C2,0000-0001-9693-1026,0000-0002-1580-4795,0.041666666666666664
2,C2,0000-0001-9693-1026,0000-0002-3895-4585,0.041666666666666664
2,C2,0000-0001-9693-1026,0000-0002-4063-7597,0.041666666666666664
2,C2,0000-0002-1580-4795,0000-0002-3895-4585,0.06944444444444445
2,C2,0000-0002-1580-4795,0000-0002-4063-7597,0.06944444444444445
2,C2,0000-0002-1580-4795,0000-0002-7763-0989,0.027777777777777776
2,C2,0000-0002-3895-4585,0000-0002-1580-4795,0.041666666666666664
2,C2,0000-0002-3895-4585,0000-0002-4063-7597,0.041666666666666664
2,C2,0000-0002-4063-7597,0000-0002-1580-4795,0.041666666666666664
2,C2,0000-0002-4063-7597,0000-0002-3895-4585,0.041666666666666664
2,C2,0000-0002-7763-0989,0000-0002-1580-4795,0.041666666666666664
2,C2,0000-0002-7763-0989,0000-0002-3895-4585,0.041666666666666664
2,C2,0000-0002-7763-0989,0000-0002-4063-7597,0.041666666666666664
2,C2,0000-0003-4845-1188,0000-0002-1580-4795,0.041666666666666664
2,C2,0000-0003-4845-1188,0000-0002-3895-4585,0.041666666666666664
2,C2,0000-0003-4845-1188,0000-0002-4063-7597,0.041666666666666664
2,C3,0000-0002-2578-1558,0000-0003-2224-8501,0.05277777777777778
2,C3,0000-0002-2578-1558,0000-0003-2913-3766,0.025
2,C3,0000-0002-2578-1558,0000-0003-4099-9261,0.05277777777777778
2,C3,0000-0002-2578-1558,0000-0003-4893-7188,0.027777777777777776
2,C3,0000-0003-2224-8501,0000-0002-2578-1558,0.05277777777777778
2,C3,0000-0003-2224-8501,0000-0003-2913-3766,0.025
2,C3,0000-0003-2224-8501,0000-0003-4099-9261,0.05277777777777778
2,C3,0000-0003-2224-8501,0000-0003-4893-7188,0.027777777777777776
2,C3,0000-0003-2438-8364,0000-0003-4099-9261,0.02
2,C3,0000-0003-2913-3766,0000-0002-2578-1558,0.05277777777777778
2,C3,0000-0003-2913-3766,0000-0003-2224-8501,0.05277777777777778
2,C3,0000-0003-2913-3766,0000-0003-4099-9261,0.05277777777777778
2,C3,0000-0003-2913-3766,0000-0003-4893-7188,0.027777777777777776
2,C3,0000-0003-4099-9261,0000-0002-2578-1558,0.05277777777777778
2,C3,0000-0003-4099-9261,0000-0003-2224-8501,0.05277777777777778
2,C3,0000-0003-4099-9261,0000-0003-2913-3766,0.025
2,C3,0000-0003-4099-9261,0000-0003-4893-7188,0.027777777777777776
2,C3,0000-0003-4893-7188,0000-0002-2578-1558,0.05277777777777778
2,C3,0000-0003-4893-7188,0000-0003-2224-8501,0.05277777777777778
2,C3,0000-0003-4893-7188,0000-0003-2913-3766,0.025
2,C3,0000-0003-4893-7188,0000-0003-4099-9261,0.05277777777777778
2,C4,0000-0001-7719-8607,0000-0001-8935-2683,0.027777777777777776
2,C4,0000-0001-7719-8607,0000-0002-4521-5588,0.027777777777777776
2,C4,0000-0001-7719-8607,0000-0002-5409-6146,0.027777777777777776
2,C4,0000-0001-7719-8607,0000-0003-2556-3013,0.027777777777777776
2,C4,0000-0001-8935-2683,0000-0001-7719-8607,0.027777777777777776
2,C4,0000-0001-8935-2683,0000-0002-4521-5588,0.027777777777777776
2,C4,0000-0001-8935-2683,0000-0002-5409-6146,0.027777777777777776
2,C4,0000-0001-8935-2683,0000-0003-2556-3013,0.027777777777777776
2,C4,0000-0002-4521-5588,0000-0001-7719-8607,0.027777777777777776
2,C4,0000-0002-4521-5588,0000-0001-8935-2683,0.027777777777777776
2,C4,0000-0002-4521-5588,0000-0002-5409-6146,0.027777777777777776
2,C4,0000-0002-4521-5588,0000-0003-2556-3013,0.027777777777777776
2,C4,0000-0002-5409-6146,0000-0001-7719-8607,0.027777777777777776
2,C4,0000-0002-5409-6146,0000-0001-8935-2683,0.027777777777777776
2,C4,0000-0002-5409-6146,0000-0002-4521-5588,0.027777777777777776
2,C4,0000-0002-5409-6146,0000-0003-2556-3013,0.027777777777777776
2,C4,0000-0003-2556-3013,0000-0001-7719-8607,0.027777777777777776
2,C4,0000-0003-2556-3013,0000-0001-8935-2683,0.027777777777777776
2,C4,0000-0003-2556-3013,0000-0002-4521-5588,0.027777777777777776
2,C4,0000-0003-2556-3013,0000-0002-5409-6146,0.027777777777777776
4,C5,0000-0002-1732-8905,0000-0002-4988-2302,0.25
4,C5,0000-0002-4988-2302,0000-0002-1732-8905,0.5416666666666666
4,C5,0000-0003-4138-914X,0000-0002-1732-8905,0.0625
4,C5,0000-0003-4138-914X,0000-0003-4449-0024,0.0625
4,C5,0000-0003-4138-914X,0000-0003-4467-611X,0.0625
4,C5,0000-0003-4449-0024,0000-0002-1732-8905,0.0625
4,C5,0000-0003-4449-0024,0000-0003-4138-914X,0.0625
4,C5,0000-0003-4449-0024,0000-0003-4467-611X,0.0625
4,C5,0000-0003-4467-611X,0000-0002-1732-8905,0.0625
4,C5,0000-0003-4467-611X,0000-0003-4138-914X,0.0625
4,C5,0000-0003-4467-611X,0000-0003-4449-0024,0.0625
